DATE,RSFSDPN
2010-01-01,35513
2010-02-01,35359
2010-03-01,39374
2010-04-01,39393
2010-05-01,40785
2010-06-01,39421
2010-07-01,41024
2010-08-01,40308
2010-09-01,38361
2010-10-01,40150
2010-11-01,37447
2010-12-01,39785
2011-01-01,36961
2011-02-01,37394
2011-03-01,42036
2011-04-01,41761
2011-05-01,43020
2011-06-01,42080
2011-07-01,43301
2011-08-01,42385
2011-09-01,41383
2011-10-01,42415
2011-11-01,39703
2011-12-01,42911
2012-01-01,39644
2012-02-01,40931
2012-03-01,45647
2012-04-01,43755
2012-05-01,45479
2012-06-01,44892
2012-07-01,44506
2012-08-01,44936
2012-09-01,43027
2012-10-01,43577
2012-11-01,42472
2012-12-01,45295
2013-01-01,41798
2013-02-01,41496
2013-03-01,47564
2013-04-01,45560
2013-05-01,47488
2013-06-01,45440
2013-07-01,45482
2013-08-01,46893
2013-09-01,43653
2013-10-01,46062
2013-11-01,45288
2013-12-01,46589
2014-01-01,42932
2014-02-01,42890
2014-03-01,49410
2014-04-01,47708
2014-05-01,51054
2014-06-01,47895
2014-07-01,48690
2014-08-01,50086
2014-09-01,47070
2014-10-01,50135
2014-11-01,47614
2014-12-01,50732
2015-01-01,47960
2015-02-01,46604
2015-03-01,53122
2015-04-01,52285
2015-05-01,55409
2015-06-01,52042
2015-07-01,53140
2015-08-01,53176
2015-09-01,50762
2015-10-01,54048
2015-11-01,50283
2015-12-01,54663
2016-01-01,50087
2016-02-01,51495
2016-03-01,55878
2016-04-01,56336
2016-05-01,57015
2016-06-01,54609
2016-07-01,56000
2016-08-01,55169
2016-09-01,54270
2016-10-01,55691
2016-11-01,53253
2016-12-01,57425
2017-01-01,52825
2017-02-01,52655
2017-03-01,60033
2017-04-01,58472
2017-05-01,60059
2017-06-01,58588
2017-07-01,58451
2017-08-01,58507
2017-09-01,57086
2017-10-01,58164
2017-11-01,55690
2017-12-01,61129
2018-01-01,54531
2018-02-01,54760
2018-03-01,63490
2018-04-01,60259
2018-05-01,64038
2018-06-01,63572
2018-07-01,63539
2018-08-01,64576
2018-09-01,59966
2018-10-01,61613
2018-11-01,58991
2018-12-01,62820
2019-01-01,56748
2019-02-01,56868
2019-03-01,66187
2019-04-01,63454
2019-05-01,67664
2019-06-01,66031
2019-07-01,65943
2019-08-01,67710
2019-09-01,62775
2019-10-01,65005
2019-11-01,62326
2019-12-01,65085
2020-01-01,60769
